iter	Passed	Remaining
401	13148	19559
402	13190	19539
403	13246	19542
404	13309	19553
405	13350	19532
406	13393	19514
407	13431	19488
408	13473	19468
409	13528	19468
410	13564	19438
411	13599	19408
412	13631	19374
413	13667	19345
414	13699	19311
415	13732	19278
416	13767	19248
417	13807	19225
418	13853	19209
419	13886	19176
420	13923	19148
421	13954	19112
422	13988	19080
423	14022	19049
424	14056	19018
425	14087	18981
426	14120	18948
427	14154	18916
428	14188	18884
429	14220	18851
430	14250	18813
431	14281	18777
432	14311	18740
433	14341	18702
434	14371	18666
435	14400	18627
436	14431	18593
437	14460	18554
438	14489	18516
439	14519	18479
440	14547	18440
441	14580	18407
442	14614	18374
443	14644	18338
444	14675	18303
445	14707	18268
446	14737	18232
447	14766	18193
448	14796	18157
449	14829	18124
450	14861	18090
451	14893	18056
452	14925	18022
453	14954	17985
454	14981	17945
455	15010	17906
456	15039	17869
457	15070	17835
458	15100	17797
459	15129	17760
460	15161	17727
461	15191	17690
462	15222	17655
463	15251	17618
464	15284	17585
465	15314	17549
466	15344	17512
467	15373	17475
468	15401	17437
469	15430	17400
470	15460	17364
471	15490	17328
472	15519	17290
473	15549	17255
474	15577	17217
475	15608	17182
476	15638	17146
477	15667	17109
478	15695	17071
479	15728	17039
480	15756	17001
481	15785	16964
482	15815	16928
483	15845	16892
484	15873	16855
485	15901	16817
486	15933	16784
487	15963	16748
488	15992	16711
489	16021	16675
490	16051	16639
491	16080	16603
492	16109	16566
493	16140	16532
494	16174	16501
495	16203	16465
496	16233	16429
497	16262	16392
498	16293	16358
499	16326	16326
500	16359	16294
501	16390	16259
502	16418	16222
503	16447	16186
504	16478	16152
505	16508	16116
506	16538	16081
507	16569	16047
508	16603	16016
509	16633	15981
510	16662	15944
511	16692	15909
512	16720	15872
513	16749	15836
514	16778	15801
515	16808	15766
516	16838	15731
517	16867	15695
518	16898	15661
519	16927	15625
520	16957	15590
521	16985	15553
522	17014	15518
523	17045	15484
524	17075	15449
525	17106	15415
526	17135	15379
527	17164	15344
528	17195	15309
529	17224	15274
530	17255	15240
531	17287	15207
532	17314	15170
533	17344	15135
534	17374	15101
535	17403	15066
536	17431	15029
537	17462	14995
538	17493	14961
539	17524	14927
540	17555	14894
541	17584	14858
542	17612	14823
543	17644	14790
544	17673	14754
545	17702	14720
546	17732	14685
547	17762	14650
548	17794	14617
549	17825	14584
550	17856	14550
551	17887	14517
552	17917	14482
553	17947	14448
554	17975	14413
555	18005	14378
556	18033	14342
557	18061	14307
558	18092	14273
559	18121	14238
560	18151	14203
561	18180	14169
562	18211	14135
563	18240	14100
564	18269	14065
565	18299	14031
566	18329	13997
567	18361	13965
568	18391	13931
569	18419	13895
570	18450	13862
571	18482	13829
572	18511	13794
573	18542	13761
574	18574	13728
575	18607	13696
576	18635	13661
577	18664	13627
578	18694	13593
579	18724	13559
580	18754	13525
581	18785	13492
582	18812	13456
583	18840	13420
584	18883	13396
585	18916	13364
586	18946	13330
587	18975	13295
588	19007	13263
589	19038	13230
590	19073	13200
591	19107	13168
592	19143	13138
593	19172	13104
594	19201	13070
595	19233	13037
596	19263	13003
597	19295	12971
598	19325	12937
599	19354	12903
600	19383	12868
601	19414	12835
602	19446	12803
603	19477	12769
604	19507	12736
605	19537	12702
606	19568	12669
607	19599	12636
608	19630	12603
609	19659	12569
610	19690	12535
611	19719	12502
612	19752	12470
613	19782	12436
614	19811	12402
615	19840	12368
616	19869	12333
617	19899	12300
618	19928	12266
619	19957	12231
620	19985	12197
621	20015	12163
622	20044	12129
623	20082	12100
624	20112	12067
625	20142	12033
626	20172	12000
627	20203	11967
628	20233	11934
629	20263	11900
630	20294	11867
631	20323	11834
632	20354	11801
633	20383	11767
634	20412	11733
635	20443	11700
636	20473	11667
637	20501	11632
638	20534	11600
639	20566	11568
640	20597	11536
641	20628	11503
642	20656	11468
643	20684	11434
644	20713	11400
645	20748	11369
646	20780	11337
647	20809	11304
648	20839	11270
649	20868	11236
650	20896	11202
651	20927	11169
652	20957	11136
653	20988	11103
654	21018	11070
655	21048	11037
656	21078	11004
657	21109	10971
658	21136	10937
659	21167	10904
660	21197	10871
661	21228	10838
662	21258	10805
663	21287	10771
664	21318	10739
665	21350	10707
666	21379	10673
667	21408	10640
668	21439	10607
669	21470	10575
670	21502	10542
671	21531	10509
672	21564	10477
673	21593	10444
674	21622	10411
675	21651	10377
676	21679	10343
677	21707	10309
678	21736	10276
679	21766	10243
680	21797	10210
681	21827	10177
682	21857	10144
683	21887	10111
684	21915	10078
685	21945	10044
686	21975	10012
687	22005	9979
688	22036	9946
689	22077	9918
690	22116	9890
691	22151	9859
692	22183	9827
693	22217	9796
694	22259	9768
695	22289	9735
696	22321	9703
697	22350	9670
698	22380	9637
699	22410	9604
700	22440	9571
701	22469	9538
702	22500	9505
703	22530	9473
704	22561	9440
705	22590	9407
706	22619	9373
707	22648	9341
708	22678	9308
709	22710	9276
710	22755	9249
711	22784	9216
712	22813	9183
713	22842	9149
714	22878	9119
715	22921	9091
716	22962	9063
717	22995	9031
718	23032	9001
719	23063	8969
720	23094	8936
721	23128	8905
722	23161	8873
723	23190	8840
724	23221	8808
725	23253	8776
726	23283	8743
727	23314	8710
728	23343	8677
729	23374	8645
730	23405	8612
731	23436	8580
732	23465	8547
733	23495	8514
734	23536	8486
735	23566	8453
736	23596	8420
737	23634	8390
738	23673	8361
739	23716	8332
740	23756	8303
741	23791	8272
742	23822	8240
743	23854	8207
744	23885	8175
745	23915	8142
746	23945	8110
747	23990	8082
748	24020	8049
749	24050	8016
750	24081	7984
751	24112	7951
752	24140	7918
753	24172	7886
754	24208	7855
755	24244	7825
756	24281	7794
757	24319	7764
758	24355	7733
759	24391	7702
760	24423	7670
761	24455	7638
762	24484	7605
763	24517	7573
764	24548	7541
765	24579	7508
766	24609	7476
767	24638	7442
768	24667	7410
769	24698	7377
770	24727	7344
771	24756	7311
772	24785	7278
773	24814	7245
774	24844	7212
775	24873	7180
776	24903	7147
777	24932	7114
778	24963	7082
779	24990	7048
780	25020	7015
781	25052	6983
782	25086	6952
783	25116	6919
784	25145	6887
785	25175	6854
786	25206	6822
787	25238	6789
788	25270	6758
789	25303	6726
790	25332	6693
791	25362	6660
792	25392	6628
793	25422	6595
794	25453	6563
795	25483	6531
796	25516	6499
797	25547	6466
798	25576	6434
799	25606	6401
800	25638	6369
801	25667	6336
802	25695	6303
803	25722	6270
804	25754	6238
805	25783	6206
806	25813	6173
807	25842	6140
808	25872	6108
809	25905	6076
810	25951	6047
811	25984	6016
812	26015	5983
813	26045	5951
814	26073	5918
815	26103	5886
816	26132	5853
817	26160	5820
818	26189	5787
819	26227	5757
820	26256	5724
821	26291	5693
822	26322	5661
823	26351	5628
824	26380	5595
825	26410	5563
826	26441	5531
827	26471	5499
828	26502	5466
829	26538	5435
830	26568	5403
831	26598	5370
832	26630	5338
833	26661	5306
834	26692	5274
835	26723	5242
836	26754	5210
837	26782	5177
838	26811	5145
839	26841	5112
840	26872	5080
841	26904	5048
842	26934	5016
843	26964	4983
844	26994	4951
845	27025	4919
846	27056	4887
847	27087	4855
848	27118	4823
849	27147	4790
850	27176	4758
851	27207	4726
852	27237	4693
853	27266	4661
854	27295	4629
855	27326	4596
856	27355	4564
857	27385	4532
858	27416	4500
859	27448	4468
860	27479	4436
861	27510	4404
862	27540	4371
863	27569	4339
864	27597	4307
865	27627	4274
866	27658	4242
867	27688	4210
868	27717	4178
869	27746	4146
870	27775	4113
871	27803	4081
872	27831	4048
873	27860	4016
874	27890	3984
875	27919	3952
876	27949	3919
877	27978	3887
878	28009	3855
879	28039	3823
880	28069	3791
881	28099	3759
882	28129	3727
883	28160	3695
884	28192	3663
885	28219	3630
886	28250	3599
887	28281	3567
888	28310	3534
889	28340	3502
890	28370	3470
891	28399	3438
892	28430	3406
893	28460	3374
894	28491	3342
895	28520	3310
896	28550	3278
897	28579	3246
898	28610	3214
899	28641	3182
900	28673	3150
901	28704	3118
902	28734	3086
903	28764	3054
904	28793	3022
905	28834	2991
906	28864	2959
907	28893	2927
908	28924	2895
909	28954	2863
910	28984	2831
911	29014	2799
912	29042	2767
913	29071	2735
914	29100	2703
915	29131	2671
916	29157	2639
917	29190	2607
918	29220	2575
919	29255	2543
920	29286	2512
921	29319	2480
922	29346	2448
923	29377	2416
924	29409	2384
925	29442	2352
926	29476	2321
927	29514	2289
928	29546	2258
929	29578	2226
930	29607	2194
931	29642	2162
932	29677	2131
933	29710	2099
934	29739	2067
935	29769	2035
936	29800	2003
937	29830	1971
938	29860	1939
939	29890	1907
940	29919	1875
941	29949	1844
942	29986	1812
943	30015	1780
944	30046	1748
945	30075	1716
946	30104	1684
947	30133	1652
948	30164	1621
949	30199	1589
950	30229	1557
951	30258	1525
952	30288	1493
953	30317	1461
954	30345	1429
955	30372	1397
956	30403	1366
957	30432	1334
958	30461	1302
959	30493	1270
960	30522	1238
961	30551	1206
962	30578	1174
963	30608	1143
964	30638	1111
965	30666	1079
966	30697	1047
967	30727	1015
968	30753	983
969	30782	952
970	30812	920
971	30842	888
972	30872	856
973	30902	824
974	30931	793
975	30961	761
976	30996	729
977	31026	697
978	31057	666
979	31089	634
980	31122	602
981	31151	571
982	31183	539
983	31213	507
984	31242	475
985	31272	444
986	31303	412
987	31331	380
988	31360	348
989	31390	317
990	31419	285
991	31448	253
992	31479	221
993	31511	190
994	31541	158
995	31570	126
996	31600	95
997	31630	63
998	31658	31
999	31688	0
