iter	Logloss
0	0.6885189686
1	0.6841929924
2	0.6796884142
3	0.675541498
4	0.671468276
5	0.6675781444
6	0.6642645942
7	0.6608525711
8	0.6576357124
9	0.6546956312
10	0.6518965344
11	0.649337303
12	0.6463673536
13	0.6435773129
14	0.6407610107
15	0.6383779157
16	0.636091437
17	0.6337924157
18	0.6314660778
19	0.6293545273
20	0.6274600495
21	0.6254441604
22	0.6233180854
23	0.6216292859
24	0.6196478926
25	0.6181145741
26	0.6166462268
27	0.6148813425
28	0.6131271713
29	0.6115888449
30	0.6101710115
31	0.6089041871
32	0.6077486822
33	0.6062827867
34	0.6050917951
35	0.6035691571
36	0.6022552777
37	0.600854304
38	0.599656316
39	0.5983129699
40	0.5969985387
41	0.5959056736
42	0.5947027974
43	0.5937129381
44	0.5926782319
45	0.5915650423
46	0.5906563181
47	0.589591551
48	0.5884789527
49	0.5876336297
50	0.5867286309
51	0.5857012811
52	0.5847370491
53	0.5838962362
54	0.5830190554
55	0.5820923454
56	0.5813095714
57	0.5804389296
58	0.5795855575
59	0.5787971473
60	0.5779109837
61	0.5770265789
62	0.5763203775
63	0.5755515304
64	0.5748135524
65	0.574070363
66	0.5734202999
67	0.5727257379
68	0.5721084061
69	0.5714608622
70	0.5707006994
71	0.5699296147
72	0.5692572142
73	0.5686861466
74	0.5680369792
75	0.5673502932
76	0.5668610461
77	0.5662888196
78	0.565602036
79	0.564974174
80	0.56448729
81	0.5640401237
82	0.5636224905
83	0.5629275815
84	0.5623307782
85	0.5617400822
86	0.5611468521
87	0.5606168384
88	0.560012002
89	0.5593493053
90	0.5588658028
91	0.5583682675
92	0.5578377467
93	0.5573750495
94	0.5569195253
95	0.5564327669
96	0.5560817965
97	0.5553951148
98	0.5548894819
99	0.5543741461
100	0.5537796795
101	0.5532794022
102	0.5527682574
103	0.552308447
104	0.5517349084
105	0.5512132743
106	0.5506605406
107	0.5503073646
108	0.5499659912
109	0.5495673801
110	0.5490594764
111	0.5487109529
112	0.5483141233
113	0.5478836656
114	0.5474714788
115	0.5470087956
116	0.5466164353
117	0.5462252985
118	0.5459234621
119	0.5454291681
120	0.5451282787
121	0.5449100526
122	0.5444801485
123	0.5440972573
124	0.543807588
125	0.5434293016
126	0.5430137591
127	0.5426274255
128	0.54226123
129	0.5418402481
130	0.5413908039
131	0.5409958126
132	0.5406676583
133	0.5404165319
134	0.5401491507
135	0.5397629848
136	0.5393726693
137	0.5390647286
138	0.5387585666
139	0.5384625872
140	0.5380123246
141	0.5376504428
142	0.5372979593
143	0.536966442
144	0.5366021921
145	0.5361686273
146	0.5359384912
147	0.5356384242
148	0.5352553853
149	0.5348607222
150	0.5345248364
151	0.5341690936
152	0.5338684613
153	0.5335610555
154	0.5332469254
155	0.5329495693
156	0.5325475074
157	0.5322282763
158	0.5319148285
159	0.5316707013
160	0.5313122872
161	0.5310345175
162	0.5306627471
163	0.5303147528
164	0.5300973264
165	0.5298234844
166	0.5294604223
167	0.5290875313
168	0.5287593442
169	0.5284434566
170	0.5281832721
171	0.5277763974
172	0.5273926381
173	0.5270732756
174	0.5267410154
175	0.5265084336
176	0.5263180344
177	0.5260688854
178	0.5257542653
179	0.5254077502
180	0.525053631
181	0.5247153343
182	0.52444659
183	0.5241006024
184	0.5238805613
185	0.5234910347
186	0.5232338929
187	0.5229118112
188	0.5225852392
189	0.5222668135
190	0.5218787465
191	0.521533818
192	0.5212961075
193	0.5210299711
194	0.5207057443
195	0.520408218
196	0.5202129502
197	0.5200348921
198	0.5197432633
199	0.5195196761
200	0.5193077828
201	0.5190624441
202	0.5188542182
203	0.5186535386
204	0.5183860422
205	0.5181499799
206	0.5178481747
207	0.5176138835
208	0.5173337327
209	0.5171320973
210	0.516856746
211	0.5165140113
212	0.5162666813
213	0.5160122727
214	0.5157063916
215	0.515430247
216	0.51507461
217	0.5148204321
218	0.5145607917
219	0.5143415756
220	0.514183505
221	0.5139083048
222	0.5136304847
223	0.5133671025
224	0.5131897663
225	0.5129207834
226	0.5127056376
227	0.5124593352
228	0.5122287733
229	0.5119720433
230	0.5117376674
231	0.511522292
232	0.5113201435
233	0.5110678095
234	0.5108207453
235	0.5107035856
236	0.5104471536
237	0.5101356479
238	0.5099253923
239	0.5096901723
240	0.5094248149
241	0.5092872428
242	0.5090231516
243	0.5088197839
244	0.5085484515
245	0.5083673931
246	0.5081041777
247	0.5078230961
248	0.5075555098
249	0.50735776
250	0.5070956179
251	0.5068714343
252	0.506651086
253	0.506388776
254	0.5061272754
255	0.5058665718
256	0.5056740956
257	0.5054104842
258	0.5051881395
259	0.504934094
260	0.5046421523
261	0.504403502
262	0.5041781782
263	0.5039478914
264	0.5036152514
265	0.5034368177
266	0.5032487714
267	0.5031214461
268	0.5027889602
269	0.502504791
270	0.5022597675
271	0.502041735
272	0.5017414176
273	0.5014433775
274	0.5012369393
275	0.5011254087
276	0.5008648477
277	0.5007263749
278	0.5005050805
279	0.5002855065
280	0.5001497676
281	0.4999017951
282	0.4997033174
283	0.4994703951
284	0.4992980515
285	0.4990439011
286	0.4987421735
287	0.4985105893
288	0.4982438237
289	0.4980085733
290	0.4977815053
291	0.4976029344
292	0.49743063
293	0.4971311544
294	0.4968120038
295	0.4964727313
296	0.49624987
297	0.4960370378
298	0.4958175856
299	0.4956280313
300	0.4954343249
301	0.4951349118
302	0.4948297334
303	0.4946000881
304	0.4943050231
305	0.4941392189
306	0.4938580297
307	0.4937091836
308	0.4933715207
309	0.4930516739
310	0.4927667625
311	0.4925386269
312	0.4922657791
313	0.4920396904
314	0.4917584478
315	0.4915343517
316	0.491202452
317	0.491018462
318	0.4907562976
319	0.4904451323
320	0.4901877997
321	0.4899611455
322	0.4896642984
323	0.489396527
324	0.4891355245
325	0.4889266552
326	0.4886419137
327	0.4884013895
328	0.4881640908
329	0.4878623887
330	0.487631068
331	0.4874112746
332	0.4871180771
333	0.4868909623
334	0.4866284443
335	0.4863177891
336	0.486069498
337	0.4858093595
338	0.4855232348
339	0.4852869335
340	0.4849838356
341	0.4846691176
342	0.4844454763
343	0.4841852907
344	0.4838742566
345	0.4835442314
346	0.4832749918
347	0.4830829928
348	0.4827311283
349	0.4824522213
350	0.4821369782
351	0.4819332922
352	0.4816740081
353	0.4814116755
354	0.4810659144
355	0.4808802125
356	0.4805187527
357	0.4802388821
358	0.4799190704
359	0.4796709188
360	0.4793897632
361	0.4790972001
362	0.4787673942
363	0.4784991965
364	0.4781870732
365	0.4779777685
366	0.4776615524
367	0.4774398631
368	0.4772078004
369	0.4768458964
370	0.4765265229
371	0.4761718511
372	0.4758972063
373	0.475688516
374	0.4753737581
375	0.475113187
376	0.474863698
377	0.4746344897
378	0.4744136499
379	0.4740840694
380	0.4738522566
381	0.4736396846
382	0.4733396555
383	0.4730517762
384	0.4728519847
385	0.4726587814
386	0.4724024363
